ID,ALKU_M,LOPPU_M,VAIK_SUUNT,ARVO,MUOKKAUSPV,LINK_ID,KUNTAKOODI,SEGM_ID
21918023,0.000,29.740,1,50,13.03.2017 09:34:44,62896609-5ada-4bba-95cf-b5de044387f7:1,927,927_99969
1128931,0.000,146.986,1,40,28.10.2014 14:49:05,1d7bad56-d800-4cb4-a603-40f61a5bba93:1,927,927_99913
1305920,172.931,415.835,1,60,28.10.2014 15:35:35,cd25d1f6-9761-4e09-9164-1046f2bcbd63:1,927,927_99843
1305920,0.000,172.931,1,60,28.10.2014 15:35:35,cd25d1f6-9761-4e09-9164-1046f2bcbd63:1,927,927_99842
