22.26336,61.26042,"SO","[9000]"
24.24981,61.35303,"S","[9017]"
24.34483,61.27544,"S","[9032]"
23.63347,61.53108,"SO","[9036]"
24.12061,61.44064,"S","[9039]"
24.02667,61.46553,"W","[9041]"
23.76911,61.49550,"N","[9042]"
23.77111,61.49178,"N","[9058-]"
23.90867,61.49803,"O","[9066]"
24.83733,60.58558,"S","[9068]"
21.64803,61.36531,"S","[9116]"
21.63006,61.17031,"N","[9232]"
24.91747,60.61539,"W","[9251]"
24.87581,60.60661,"NO","[9279]"
25.07956,60.61667,"O","[9280]"
25.22044,60.62631,"O","[9289]"
25.28022,60.62822,"O","[9318-]"
25.28514,60.62714,"NW","[9349-]"
27.23939,63.64258,"S","[9430]"
26.56661,61.43475,"O","[9451]"
26.67500,61.43944,"NO","[9458]"
26.75128,61.48000,"SW","[9479]"
26.85717,61.52692,"NO","[9480]"
27.00322,61.57922,"N","[9503]"
25.22042,60.62639,"W","[9510]"
27.00689,61.58228,"S","[9542]"
21.58750,61.55056,"SO","[9556]"
27.33747,61.70494,"O","[9627]"
27.45767,61.71394,"SW","[9640]"
22.84628,63.62858,"NO","[9641]"
27.81983,62.07911,"N","[9642]"
27.82211,62.08347,"S","[9656]"
24.39678,64.57319,"S","[9734]"
24.40672,64.59044,"N","[9736]"
24.52375,64.67881,"NO","[9739]"
21.81856,63.01875,"NW","[9740]"
21.75642,61.46481,"N, removed (?)","[9743-]"
23.84678,64.24117,"SW","[9746]"
23.87581,64.24617,"W","[9749]"
23.01189,63.73067,"S","[9763]"
26.86383,60.95961,"S","[9766]"
24.39031,64.56739,"N","[9769]"
26.84417,60.94850,"NO","[9772]"
26.79292,60.92419,"SW","[9794]"
21.75708,61.50947,"SW","[9796]"
24.10628,64.40800,"SW","[9812]"
24.26781,64.47342,"S","[9813]"
24.08431,64.40142,"NO","[9814]"
24.25722,64.45947,"NO","[9816]"
23.94856,64.27944,"S","[9817]"
23.94919,64.26692,"S","[9818]"
23.91519,64.25186,"O","[9824]"
23.26264,63.86219,"W","[9837]"
23.21297,63.85228,"SW","[9838]"
23.19314,63.84911,"NO","[9839]"
23.16592,63.83514,"S","[9840]"
22.98461,63.70994,"NO","[9841]"
29.99531,62.46492,"NW","[9842]"
30.08797,62.40683,"S","[9845]"
23.43672,63.93367,"NO","[9849]"
30.11431,62.34397,"N","[9853]"
22.86214,63.63392,"SW","[9868]"
22.75203,63.58928,"NO","[9869]"
22.78669,63.60861,"SW","[9899]"
23.53681,64.00636,"SW","[9903]"
25.10753,61.02628,"SO","[9905-]"
25.50989,60.98633,"O","[9919-]"
23.45636,63.94611,"S","[9944]"
23.54986,61.55756,"SO","[10000]"
23.53322,64.00519,"NO","[10004]"
24.56100,61.17803,"O","[10009]"
24.81558,61.12625,"S","[10010-]"
24.89172,61.09561,"[10017]","[10017]"
24.92094,61.08600,"SO","[10019-]"
25.00222,61.05522,"SO","[10024-]"
25.01119,61.05042,"NW","[10026-]"
21.54578,61.57622,"SO","[10031]"
25.56861,62.02111,"N","[10036]"
23.65872,64.06794,"S","[10048]"
29.99075,62.46628,"SO","[10049]"
30.08981,62.40419,"N","[10051]"
23.65125,64.05944,"NO","[10054]"
